objectid,title,filename,format,date,datecreated,countryoforgin,description,subject,location,latitude,longitude,source ,rights,creativecommonsmark,rightsnotes,citation,archivedpage
aor13,"Portrait of Shinzaburo Ban, ca. 1900",asiaor_1900_shinzaburoban_001.jpg,image/jpg,1900,1900,Japan,"A portrait of Shinzaburo Ban, one of the leading Japanese businessmen in Portland in the early twentieth century. He was the founder of the Shinzaburo Ban company, an established railroad contractor, merchant, and owner of a shingle company and a lumber mill.",Japanese; single person,"Portland, OR",45.524352,-122.6740884,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1208/rec/7"" target=""_blank"">Oregon Historical Society Ethnic History Collection - Washington State Unviersity Libraries Digital Collection</a>","<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"Portrait of Shinzaburo Ban, ca. 1900, Unknown. 1900, Oregon Historical Society. <a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1208/rec/7"" target=""_blank""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1208/rec/7</a>","<a href=""https://web.archive.org/web/20230522224316/https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1208/rec/7"" target=""_blank"">Archived Page</a>"
aor14,"An account of the first Japanese native in Oregon, ca. 1904",asiaor_1904_firstjnative_001.jpg,image/jpg,1904,1904,Japan,"An account of the life of Suzukie Kenzo, the first native Japanese person in Oregon, written by George Henry Heimes.",Japanese; immigration; single person,"Portland, OR",45.51950647,-122.6887478530063,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1391/rec/9"" target=""_blank"">Oregon Historical Society Ethnic History Collection - Washington State Unviersity Libraries Digital Collection</a>","<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"An account of the first Japanese native in Oregon, ca. 1904, Unknown. 1904, Oregon Historical Society. <a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1391/rec/9"" target=""_blank""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1391/rec/9</a>","<a href=""https://web.archive.org/web/20230523005150/https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1391/rec/9"" target=""_blank"">Archived Page</a>"
aor04,"Portland Chinese Mission School Third Annual Exhibition Programme, April 2, 1872",asiaor_1872_missionprog_001.jpg,image/jpg,1872,1872,China,"A program detailing the third annual exhibition of the Portland Chinese Mission School, which took place at the First Baptist Church.",Chinese; Chinese-American,"Portland, OR",45.5199294,-122.6864677,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1229/rec/131"" target=""_blank"">Oregon Historical Society Ethnic History Collection - Washington State Unviersity Libraries Digital Collection</a>","<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"Portland Chinese Mission School Third Annual Exhibition Programme, April 2, 1872, Unknown. 1872, Oregon Historical Society. <a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1229/rec/131"" target=""_blank""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1229/rec/131</a>","<a href=""https://web.archive.org/web/20230523005613/https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1229/rec/131"" target=""_blank"">Archived Page</a>"
aor21,"Chinese Opera theater program, ca. 1920",asiaor_1920_operaprogram_001.jpg,image/jpg,1920,1920,China,An image of a 1920 flier advertising a Chinese opera being performed at Casino Theater (1918-1930) in Portland's Chinatown. Original document written with traditional Chinese characters.,Chinese; Chinese-American,"Portland, OR",45.5232631,-122.6749314,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1231/rec/133"" target=""_blank"">Oregon Historical Society Ethnic History Collection - Washington State Unviersity Libraries Digital Collection</a>","<a href=""http://rightsstatements.org/vocab/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"Chinese Opera theater program, ca. 1920, Unknown. 1920, Oregon Historical Society. <a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1231/rec/133"" target=""_blank""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1231/rec/133</a>","<a href=""https://web.archive.org/web/20230523005855/https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1231/rec/133"" target=""_blank"">Archived Page</a>"
aor03,Chinese Camp at the Head of Dalles,asiaor_1916_chinesecamp_001.jpeg ,image/jpg,1872,1829-1916,United States,"Photograph by Carleton E. Watkins of several tents set up at a Chinese labor camp overlooking the Columbia River at the Head of the Dalles, Oregon. ",Chinese American; Immigration,"Dalles, OR",45.59648888,-121.176094,"<a href=""https://digitalcollections.ohs.org/chinese-camp-at-the-head-of-the-dalles-oregon-stereograph-e28-1884"" target=""_blank"">Chinese Camp at the Head of the Dalles, Oregon- The Oregon Historical Society Digital Collections</a>
","<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>

","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>
 
",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"""Chinese Camp at the Head of the Dalles, Oregon."" (Stereograph E28)', Watkins, Carleton E., 1829-1916, Oregon Historical Society Library, <a href='https://digitalcollections.ohs.org/chinese-camp-at-the-head-of-the-dalles-oregon-stereograph-e28-1884' target='_blank'>https://digitalcollections.ohs.org/chinese-camp-at-the-head-of-the-dalles-oregon-stereograph-e28-1884</a>","<a href=""https://web.archive.org/web/20230515230450/https:/digitalcollections.ohs.org/chinese-camp-at-the-head-of-the-dalles-oregon-stereograph-e28-1884"" target=""_blank"">Archived Page</a>
"
aor19,Photo at Angelus Studio ,asiaor_1960_astudio_001.jpg,Photo at Angelus Studio ,1920,1880-1960s,United States,Photo of Chinese Mining Boss Gin Lin taken at Angelus Studio in Portland Oregon.,Photograph; Mining; Business,"Portland, OR",45.51598293,-122.6762149,"<a href=""https://oregondigital.org/concern/images/n870zv11f"" target=""_blank"">Angelus Studio photographs- University of Oregon Libraries Special Collections and University Archives</a>
","<a href=""https://rightsstatements.org/page/InC/1.0/?language=en"" target=""_blank"">In Copyright - In the United States</a>

","<a href=""https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en
"" target=""_blank"">In Copyright</a>

","<a href=""https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en
"" target=""_blank"">In Copyright</a>

","Angelus Studio photographs, 1880s-1940s, University of Oregon. ""PH037_b213_Z00783 (recto)"" Oregon Digital. 24 Apr 2023, Angelus Studio photographs, 1880s-1940s, University of Oregon. ""PH037_b213_Z00783 (recto)"" Oregon Digital. 24 Apr 2023, <a href='https://oregondigital.org/concern/images/n870zv11f' target='_blank'>https://oregondigital.org/concern/images/n870zv11f</a>
","<a href=""https://web.archive.org/web/20230515231950/https:/oregondigital.org/concern/images/n870zv11f"" target=""_blank"">Archived Page</a>"
aor02,One Mil Coin,asiaor_1866_coin_001.jpg,image/jpg,1866,1866,China,"One Mil Coin, orignially from Hong Kong found in excavation in Jacksonville Oregon.",Coin; Mining; Immigration; Chinese American,"Jacksonville, OR",42.31388926,", -122.9661381251206","<a href=""https://cdm16085.contentdm.oclc.org/digital/collection/p16085coll10/id/237/rec/16"" target=""_blank"">Coin, One Mil- Southern Oregon Digital Archives</a>
","<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>
","<a href=""https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en
"" target=""_blank"">In Copyright</a>

","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>","Coin, One Mil. 1866, Southern Oregon University. Laboratory of Anthropology, <a href='https://cdm16085.contentdm.oclc.org/digital/collection/p16085coll10/id/237/rec/16' target='_blank'>https://cdm16085.contentdm.oclc.org/digital/collection/p16085coll10/id/237/rec/16</a>","<a href=""https://web.archive.org/web/20230515231950/https:/oregondigital.org/concern/images/n870zv11f"" target=""_blank"">Archived Page</a>"
aor07,Certificate of Residance USA,asiaor_1894_cert_001.jpg,image/jpg,1894,1894,United States,"Ali Hee's Certificate of Residance USA, from 1894, immigrated from China to John Day Oregon.",Residance; Certificate; Immigration; Chinese American; Kam Wah Chung Heritage Site,"John Day, OR",44.41566857,-118.9526561,"<a href=""https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7Ccb7489c4-d2f2-45ca-9b59-672b6ec4b0d5"" target=""_blank"">Certificate of Residance- Kam Wah Chung State Heratige Site Archives</a>
","<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>
 
",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"""Certificate of Residance- Chinese Man USA"". 1894, Kam Wah Chung State Heritage Site Archives, <a href='https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7Ccb7489c4-d2f2-45ca-9b59-672b6ec4b0d5' target='_blank'>https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7Ccb7489c4-d2f2-45ca-9b59-672b6ec4b0d5</a>
","<a href=""https://web.archive.org/web/20230515232942/https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7Ccb7489c4-d2f2-45ca-9b59-672b6ec4b0d5"" target=""_blank"">Archived Page</a>
"
aor05,"""How to Write a Business Letter""",asiaor_1891_busletter_001.jpg,image/jpg,1891,1891,United States,"Book on topic of ""How to Write Business Letters"" in Mandarin, discovered at Kam Wah Chung Heritage Site in John Day Oregon.",Book; Documents; Mining; Low Wage Worker; Kam Wah Chung Heritage Site,"John Day, OR",44.41566857,-118.9526561,"<a href=""https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7C664b7f5c-02b5-4290-93d2-34a7c9008447"" target=""_blank"">How to Write a Business Letter- Kam Wah Chung State Heratige Site Archives</a>
","<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"""How to Write Business Letters"". 1891, Kam Wah Chung Heritage Site Archives, <a href='https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7C664b7f5c-02b5-4290-93d2-34a7c9008447' target='_blank'>https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7C664b7f5c-02b5-4290-93d2-34a7c9008447</a>","<a href=""https://web.archive.org/web/20230515232942/https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7Ccb7489c4-d2f2-45ca-9b59-672b6ec4b0d5"" target=""_blank"">Archived Page</a>"
aor13,"""Mining Lease""",asiaor_1898_mininglease_001.jpg,image/jpg,1898,1898,United States,"Document regrding Lease for Loy Fat Mining Compay, discovered in Kam Wah Chung Heritage Site in John Day Oreogn. ",Document; Mining; Business; Kam Wah Chung Heritage Site,"John Day, OR",44.41566857,-118.9526561,"<a href=""https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7C7f55d08d-6220-4df5-8c60-86ddd4e4255d"" target=""_blank"">Mining Lease to Loy Fat Co- Kam Wah Chung State Heratige Site Archives</a>
","<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>
 
",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"""Mining Lease to Loy Fat Co (Chinese Mining Co-Partnership) Onion Gulch in Elk Creek Mining Dist"". 1898, Kam Wah Chung Heritage Site Archives, <a href='https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7C7f55d08d-6220-4df5-8c60-86ddd4e4255d' target='_blank'>https://te519b6936e326980.starter1ua.preservica.com/portal/en-US/asset/sdb%3AIO%7C7f55d08d-6220-4df5-8c60-86ddd4e4255d</a>","<a href=""https://web.archive.org/web/20230515234026/https:/te519b6936e326980.starter1ua.preservica.com/portal/asset/sdb:IO%7C7f55d08d-6220-4df5-8c60-86ddd4e4255d"" target=""_blank"">Archived Page</a>
"
aor01,"""Chinese men working in a Columbia River salmon cannery""",asiaor_1860_salmon_001.jpg,image/jpg,1860,1860,United States,"Photograph of Chinese men working in a Columbia River salmon cannery factory in Astoria Oregon circa 1860, photograph was taken by Wesley Andrews. ",Photograph; Business; Low Wage Worker,"Astoria, OR",46.18786128,-123.8313405,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1158/rec/2"" target=""_blank"">Chinese Men Working in a Columbia River Salmon Cannery- Oregon Historical Society Library</a>
","<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>
 
",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"""Chinese men working in a Columbia River salmon cannery"", 1860. Oregon Historical Society, <a href='https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1158/rec/2' target='_blank'>https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1158/rec/2</a>","<a href=""https://web.archive.org/web/20230515234526/https:/content.libraries.wsu.edu/digital/collection/wsuvan1/id/1158/rec/2"" target=""_blank"">Archived Page</a>
"
aor10,"""Telegram to Oregon's governor regarding the Chinese exclusion act""",asiaor_1893_telegram_001.jpg,image/jpg,1893,1893,United States,"A Telegram sent to Oregon's Governor Sylvester Pennoyer from W. Q. Gresham circa 1893 regarding the Chinese exclusion act. Gresham mentions rumors of violence towards Chinese in Oregon when the exclusion act takes effect. He relays a message from the President, who hopes the governor will protect the Chinese in Oregon.
",Telegram; Chinese; Government; Immigration,"Salem, OR",44.94389802,-123.0319872,"<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1234/rec/9"" target=""_blank"">Telegram to Oregon's governor regarding the Chinese exclusion act- Oregon Historical Society Library</a>
","<a href=""https://rightsstatements.org/page/NoC-US/1.0/"" target=""_blank"">No Copyright - In the United States</a>","<a href=""https://creativecommons.org/publicdomain/mark/1.0/"" target=""_blank"">Public Domain Mark 1.0</a>
 
",The copyright and related rights status of this item is determined to be under Public Domain based on the date it was created.,"""Telegram to Oregon's governor regarding the Chinese exclusion act"", 1893. Oregon Historical Society, <a href=’https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1234/rec/1' target='_blank'>https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1234/rec/9</a>

","<a href=""https://content.libraries.wsu.edu/digital/collection/wsuvan1/id/1234/rec/9"">Archived Page</a>
"
